	sourcepage	rebuttalpage
110	http://insidesu.syr.edu/2012/02/27/unescoemir-jaber-al-ahmed-al-jaber-al-sabah-prize/	http://www.randi.org/site/index.php/swift-blog/1645-congratulations-syracuse-university.html
111	http://www.unesco.org/new/en/media-services/single-view/news/douglas_biklen_usa_wins_unescoemir_jaber_al_ahmad_al_jaber_al_sabah_prize_to_promote_quality_education_for_persons_with_intellectual_disabilities_2011/	http://www.randi.org/site/index.php/swift-blog/1645-congratulations-syracuse-university.html
112	http://soe.syr.edu/centers_institutes/institute_communication_inclusion/default.aspx	http://www.randi.org/site/index.php/swift-blog/1645-congratulations-syracuse-university.html
113	http://www.un.org/apps/news/story.asp?NewsID=41354&Cr=Disabilities&Cr1=	http://www.randi.org/site/index.php/swift-blog/1645-congratulations-syracuse-university.html
114	http://blog.dorries.org/id-2005-2011_10_Humanists.aspx	http://blog.dave.org.uk/2011/10/dorries-on-humanism.html
115	http://blog.dorries.org/id-2013-2011_10_Humanists_%282%29.aspx	http://www.ministryoftruth.me.uk/2011/10/25/dorries-humanism-and-infanticide-2/
116	http://shop.avn.org.au/products/One-Answer-to-Cancer.html	http://luckylosing.com/2012/03/01/some-avn-stupid-burns-so-much-it-really-burns/
117	http://www.blacksalve.biz/	http://www.quackwatch.org/01QuackeryRelatedTopics/Cancer/eschar.html
118	http://www.blacksalve.biz/	http://luckylosing.com/2012/03/01/some-avn-stupid-burns-so-much-it-really-burns/
119	http://blacksalveinfo.com/	http://www.quackwatch.org/01QuackeryRelatedTopics/Cancer/eschar.html
120	http://mightymag.org/category/darwin-was-wrong/	http://talkorigins.org/
121	http://www.telegraph.co.uk/comment/9121424/We-cannot-afford-to-indulge-this-madness.html	http://blog.dave.org.uk/2012/03/we-cannot-afford-to-indulge-this-madness.html
122	http://blog.dorries.org/id-2005-2011_10_Humanists.aspx	http://www.ministryoftruth.me.uk/2011/10/25/dorries-humanism-and-infanticide/
123	http://www.discovergod.com/character02.html	http://www.thinkatheist.com/photo/satan-more-powerful-than-god
124	http://www.repealtheact.org.uk/climate-change-act	http://skepticalscience.com/lindzen-london-illusions.html
125	http://www.theage.com.au/opinion/politics/labor-has-to-contact-base-camp-20120306-1ui9u.html	http://www.crikey.com.au/2012/03/06/wayne-versus-the-lizard-people-the-secret-history-of-illegitimate-power/
126	http://www.proofthatgodexists.org/	http://stephenlaw.blogspot.com/2008/07/proof-that-god-exists.html
127	http://www.guardian.co.uk/theobserver/2011/nov/20/a-family-gripped-by-cancer	http://scienceblogs.com/insolence/2012/03/07/another-burzynski-patient-dies/
128	http://www.tandfonline.com/doi/abs/10.1080/15287394.2011.573736	http://scienceblogs.com/insolence/2012/03/06/using-conflicts-of-interest/
129	http://www.tandfonline.com/doi/abs/10.1080/15287394.2011.573736?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed	http://scienceblogs.com/insolence/2011/06/08/more-bad-science-in-the-service-of-the-discredited-idea/
130	http://www.ncbi.nlm.nih.gov/pubmed/22375842	http://scienceblogs.com/insolence/2012/03/06/using-conflicts-of-interest/
131	http://www.tandfonline.com/doi/abs/10.1080/08989621.2012.660073?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed	http://scienceblogs.com/insolence/2012/03/06/using-conflicts-of-interest/
132	http://www.harboroughmail.co.uk/news/crime/drugs-factory-raided-1-3578914	http://bengoldacre.posterous.com/police-are-warning-that-the-smell-of-cannabis
133	http://s3.amazonaws.com/kony2012/kony_5.html	http://visiblechildren.tumblr.com/post/18890947431/we-got-trouble
136	http://thedailywh.at/2012/03/07/on-kony-2012-2/	http://www.invisiblechildren.com/critiques.html
137	http://visiblechildren.tumblr.com/post/18890947431/we-got-trouble	http://www.invisiblechildren.com/critiques.html
138	http://rachelhills.wordpress.com/2012/01/08/whos-afraid-of-melinda-tankard-reist/	http://noplaceforsheep.com/2012/01/10/the-questions-rachel-hills-didnt-ask-melinda-tankard-reist/
139	http://noplaceforsheep.com/2012/01/10/the-questions-rachel-hills-didnt-ask-melinda-tankard-reist/	http://rawroar.net/2012/01/18/a-cosmopolitan-morality/
140	http://rawroar.net/2012/01/18/a-cosmopolitan-morality/	http://noplaceforsheep.com/2012/03/04/the-ad-hominem-fallacy-the-tankard-reist-affair/
141	http://www.guardian.co.uk/society/2011/dec/30/antidepressant-use-england-soars	http://www.badscience.net/2011/12/this-guardian-story-is-dodgy-traps-in-data-journalism/
142	http://www.independent.co.uk/life-style/health-and-families/health-news/escalating-depression-crisis-is-costing-britain-11bn-a-year-6282994.html	http://www.badscience.net/2011/12/this-guardian-story-is-dodgy-traps-in-data-journalism/
143	http://www.express.co.uk/posts/view/146138/146138-Climate-change-is-natural-100-reasons-why--Climate-change-is-natural-100-reasons-why-	http://www.newscientist.com/blogs/shortsharpscience/2009/12/50-reasons-why-global-warming.html
145	http://messandnoise.com/news/4441453	http://www.watoday.com.au/entertainment/about-town/a-mosh-pit-with-a-view-20120223-1tor8.html
